sample_id,complexity_label,image_path_in_zip,action_json_file,complexity_score,cached_image_path
00090444,low,images/0009/00090444_0.png,00090444.json,0.09892,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0009/00090444_0.png
00017018,low,images/0001/00017018_0.png,00017018.json,0.004216,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0001/00017018_0.png
00104282,low,images/0010/00104282_0.png,00104282.json,0.004123,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0010/00104282_0.png
00122673,low,images/0012/00122673_0.png,00122673.json,0.046327,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0012/00122673_0.png
00011990,low,images/0001/00011990_0.png,00011990.json,0.032386,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0001/00011990_0.png
00076659,low,images/0007/00076659_0.png,00076659.json,0.043923,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0007/00076659_0.png
00214388,low,images/0021/00214388_0.png,00214388.json,0.016929,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0021/00214388_0.png
00017284,low,images/0001/00017284_0.png,00017284.json,0.038308,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0001/00017284_0.png
00168914,low,images/0016/00168914_0.png,00168914.json,0.062592,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0016/00168914_0.png
00089049,low,images/0008/00089049_0.png,00089049.json,0.083249,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0008/00089049_0.png
00300613,low,images/0030/00300613_2.png,00300613.json,0.043755,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0030/00300613_2.png
00107173,low,images/0010/00107173_0.png,00107173.json,0.003354,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0010/00107173_0.png
00047421,low,images/0004/00047421_0.png,00047421.json,0.042659,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0004/00047421_0.png
00269364,low,images/0026/00269364_0.png,00269364.json,0.029587,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0026/00269364_0.png
00277142,low,images/0027/00277142_0.png,00277142.json,0.015086,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0027/00277142_0.png
00138970,low,images/0013/00138970_0.png,00138970.json,0.045435,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0013/00138970_0.png
00201721,low,images/0020/00201721_0.png,00201721.json,0.0441,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0020/00201721_0.png
00017599,low,images/0001/00017599_0.png,00017599.json,0.003516,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0001/00017599_0.png
00280453,low,images/0028/00280453_0.png,00280453.json,0.036958,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0028/00280453_0.png
00249558,low,images/0024/00249558_0.png,00249558.json,0.042997,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0024/00249558_0.png
00026599,low,images/0002/00026599_0.png,00026599.json,0.003241,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0002/00026599_0.png
00304236,low,images/0030/00304236_3.png,00304236.json,0.096309,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0030/00304236_3.png
00137186,low,images/0013/00137186_0.png,00137186.json,0.042823,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0013/00137186_0.png
00016953,low,images/0001/00016953_0.png,00016953.json,0.046248,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0001/00016953_0.png
00307780,low,images/0030/00307780_3.png,00307780.json,0.042584,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0030/00307780_3.png
00055078,low,images/0005/00055078_0.png,00055078.json,0.003509,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0005/00055078_0.png
00191109,low,images/0019/00191109_0.png,00191109.json,0.041649,evidence/videocad/notes/h1_proxy_experiment/cache_images/images/0019/00191109_0.png
