arm,complexity_label,epsilon,n_runs,success_rate,mean_fail_step_ratio,mean_mismatch_rate,mean_repaired_events,mean_attempts,abandon_rate
min_rules,high,0.0,4000,1.0,1.0,0.0,0.0,74.19,0.0
min_rules,high,0.02,4000,0.82,1.0,0.029007,1.9665,74.19,0.0
min_rules,high,0.04,4000,0.709,1.0,0.056584,3.7585,74.19,0.0
min_rules,high,0.06,4000,0.62325,1.0,0.083261,5.4365,74.19,0.0
min_rules,high,0.08,4000,0.56225,1.0,0.109217,7.00025,74.19,0.0
min_rules,high,0.1,4000,0.515,1.0,0.134836,8.49925,74.19,0.0
min_rules,high,0.12,4000,0.48575,1.0,0.158394,9.86725,74.19,0.0
min_rules,high,0.14,4000,0.44975,1.0,0.181964,11.17575,74.19,0.0
min_rules,high,0.16,4000,0.424,1.0,0.204638,12.41225,74.19,0.0
min_rules,high,0.18,4000,0.412,1.0,0.227232,13.613,74.19,0.0
min_rules,high,0.2,4000,0.39375,1.0,0.248971,14.76075,74.19,0.0
min_rules,high,0.22,4000,0.3775,1.0,0.270315,15.8235,74.19,0.0
min_rules,high,0.24,4000,0.3625,1.0,0.292002,16.88,74.19,0.0
min_rules,high,0.26,4000,0.35325,1.0,0.312174,17.84975,74.19,0.0
min_rules,high,0.28,4000,0.34675,1.0,0.332527,18.794,74.19,0.0
min_rules,high,0.3,4000,0.336,1.0,0.352929,19.6865,74.19,0.0
min_rules,high,0.32,4000,0.3285,1.0,0.372313,20.5325,74.19,0.0
min_rules,high,0.34,4000,0.32275,1.0,0.392031,21.3155,74.19,0.0
min_rules,high,0.36,4000,0.308,1.0,0.412152,22.06375,74.19,0.0
min_rules,high,0.38,4000,0.30425,1.0,0.431205,22.75575,74.19,0.0
min_rules,high,0.4,4000,0.2935,1.0,0.450085,23.398,74.19,0.0
min_rules,high,0.42,4000,0.2865,1.0,0.468861,24.052,74.19,0.0
min_rules,high,0.44,4000,0.277,1.0,0.486902,24.65625,74.19,0.0
min_rules,high,0.46,4000,0.27,1.0,0.505466,25.235,74.19,0.0
min_rules,high,0.48,4000,0.26575,1.0,0.522909,25.757,74.19,0.0
min_rules,high,0.5,4000,0.2545,1.0,0.54088,26.281,74.19,0.0
min_rules,low,0.0,4000,1.0,1.0,0.0,0.0,26.58,0.0
min_rules,low,0.02,4000,0.93125,1.0,0.026693,0.673,26.58,0.0
min_rules,low,0.04,4000,0.87,1.0,0.051431,1.29475,26.58,0.0
min_rules,low,0.06,4000,0.82125,1.0,0.077229,1.9,26.58,0.0
min_rules,low,0.08,4000,0.77325,1.0,0.101783,2.461,26.58,0.0
min_rules,low,0.1,4000,0.73,1.0,0.127168,3.0235,26.58,0.0
min_rules,low,0.12,4000,0.697,1.0,0.150043,3.5185,26.58,0.0
min_rules,low,0.14,4000,0.66,1.0,0.174007,4.005,26.58,0.0
min_rules,low,0.16,4000,0.63075,1.0,0.196908,4.47475,26.58,0.0
min_rules,low,0.18,4000,0.60975,1.0,0.219571,4.91,26.58,0.0
min_rules,low,0.2,4000,0.5885,1.0,0.241579,5.312,26.58,0.0
min_rules,low,0.22,4000,0.56325,1.0,0.263699,5.70025,26.58,0.0
min_rules,low,0.24,4000,0.544,1.0,0.285713,6.10075,26.58,0.0
min_rules,low,0.26,4000,0.53025,1.0,0.306252,6.46275,26.58,0.0
min_rules,low,0.28,4000,0.51575,1.0,0.32616,6.7855,26.58,0.0
min_rules,low,0.3,4000,0.49775,1.0,0.347198,7.11775,26.58,0.0
min_rules,low,0.32,4000,0.48425,1.0,0.367166,7.42275,26.58,0.0
min_rules,low,0.34,4000,0.47175,1.0,0.386441,7.70175,26.58,0.0
min_rules,low,0.36,4000,0.459,1.0,0.405568,7.97625,26.58,0.0
min_rules,low,0.38,4000,0.44575,1.0,0.424924,8.2305,26.58,0.0
min_rules,low,0.4,4000,0.43675,1.0,0.443754,8.4795,26.58,0.0
min_rules,low,0.42,4000,0.4275,1.0,0.46182,8.6805,26.58,0.0
min_rules,low,0.44,4000,0.415,1.0,0.48092,8.90575,26.58,0.0
min_rules,low,0.46,4000,0.40475,1.0,0.499275,9.12025,26.58,0.0
min_rules,low,0.48,4000,0.39475,1.0,0.517296,9.30725,26.58,0.0
min_rules,low,0.5,4000,0.38775,1.0,0.534327,9.4915,26.58,0.0
min_rules,medium,0.0,4000,1.0,1.0,0.0,0.0,41.36,0.0
min_rules,medium,0.02,4000,0.8975,1.0,0.027684,1.0595,41.36,0.0
min_rules,medium,0.04,4000,0.80075,1.0,0.053685,2.016,41.36,0.0
min_rules,medium,0.06,4000,0.73225,1.0,0.080757,2.98075,41.36,0.0
min_rules,medium,0.08,4000,0.6755,1.0,0.105628,3.826,41.36,0.0
min_rules,medium,0.1,4000,0.62975,1.0,0.13046,4.64575,41.36,0.0
min_rules,medium,0.12,4000,0.59275,1.0,0.153589,5.408,41.36,0.0
min_rules,medium,0.14,4000,0.562,1.0,0.177072,6.1685,41.36,0.0
min_rules,medium,0.16,4000,0.53175,1.0,0.199924,6.8965,41.36,0.0
min_rules,medium,0.18,4000,0.518,1.0,0.222486,7.56425,41.36,0.0
min_rules,medium,0.2,4000,0.49825,1.0,0.243189,8.155,41.36,0.0
min_rules,medium,0.22,4000,0.47975,1.0,0.263811,8.76175,41.36,0.0
min_rules,medium,0.24,4000,0.462,1.0,0.285327,9.31075,41.36,0.0
min_rules,medium,0.26,4000,0.44525,1.0,0.305981,9.86,41.36,0.0
min_rules,medium,0.28,4000,0.43125,1.0,0.325794,10.3645,41.36,0.0
min_rules,medium,0.3,4000,0.4175,1.0,0.345221,10.87825,41.36,0.0
min_rules,medium,0.32,4000,0.40375,1.0,0.365784,11.35725,41.36,0.0
min_rules,medium,0.34,4000,0.38925,1.0,0.384944,11.77275,41.36,0.0
min_rules,medium,0.36,4000,0.37875,1.0,0.40438,12.18975,41.36,0.0
min_rules,medium,0.38,4000,0.36675,1.0,0.423691,12.58675,41.36,0.0
min_rules,medium,0.4,4000,0.363,1.0,0.443267,12.9795,41.36,0.0
min_rules,medium,0.42,4000,0.352,1.0,0.461429,13.31475,41.36,0.0
min_rules,medium,0.44,4000,0.34675,1.0,0.48032,13.65925,41.36,0.0
min_rules,medium,0.46,4000,0.34,1.0,0.499015,13.97825,41.36,0.0
min_rules,medium,0.48,4000,0.33475,1.0,0.516908,14.28,41.36,0.0
min_rules,medium,0.5,4000,0.32825,1.0,0.535031,14.569,41.36,0.0
retry_oracle,high,0.0,4000,1.0,1.0,0.0,0.0,74.19,0.0
retry_oracle,high,0.02,4000,0.99975,0.999881,0.0,0.0,75.7057,0.00025
retry_oracle,high,0.04,4000,0.9955,0.997735,0.0,0.0,77.1273,0.0045
retry_oracle,high,0.06,4000,0.987,0.993738,0.0,0.0,78.4657,0.013
retry_oracle,high,0.08,4000,0.9665,0.984527,0.0,0.0,79.408,0.0335
retry_oracle,high,0.1,4000,0.93025,0.968627,0.0,0.0,79.875,0.0685
retry_oracle,high,0.12,4000,0.8715,0.943987,0.0,0.0,79.5905,0.1235
retry_oracle,high,0.14,4000,0.7975,0.915247,0.0,0.0,78.8097,0.18275
retry_oracle,high,0.16,4000,0.68925,0.876892,0.0,0.0,77.1787,0.26075
retry_oracle,high,0.18,4000,0.55075,0.832775,0.0,0.0,74.6213,0.3505
retry_oracle,high,0.2,4000,0.40475,0.786897,0.0,0.0,71.6442,0.43925
retry_oracle,high,0.22,4000,0.27075,0.737509,0.0,0.0,67.9315,0.52825
retry_oracle,high,0.24,4000,0.16075,0.679524,0.0,0.0,63.405,0.624
retry_oracle,high,0.26,4000,0.0915,0.623052,0.0,0.0,58.8185,0.70275
retry_oracle,high,0.28,4000,0.04925,0.568211,0.0,0.0,54.3458,0.768
retry_oracle,high,0.3,4000,0.02225,0.516809,0.0,0.0,50.1572,0.827
retry_oracle,high,0.32,4000,0.00925,0.470174,0.0,0.0,46.4838,0.8705
retry_oracle,high,0.34,4000,0.00375,0.427898,0.0,0.0,43.1365,0.90325
retry_oracle,high,0.36,4000,0.00125,0.387189,0.0,0.0,39.8765,0.93625
retry_oracle,high,0.38,4000,0.0005,0.35251,0.0,0.0,36.9973,0.953
retry_oracle,high,0.4,4000,0.0005,0.320362,0.0,0.0,34.3612,0.9675
retry_oracle,high,0.42,4000,0.00025,0.294209,0.0,0.0,32.2223,0.97775
retry_oracle,high,0.44,4000,0.0,0.270909,0.0,0.0,30.304,0.986
retry_oracle,high,0.46,4000,0.0,0.251929,0.0,0.0,28.8345,0.9905
retry_oracle,high,0.48,4000,0.0,0.231972,0.0,0.0,27.192,0.995
retry_oracle,high,0.5,4000,0.0,0.217604,0.0,0.0,26.0338,0.997
retry_oracle,low,0.0,4000,1.0,1.0,0.0,0.0,26.58,0.0
